Data,Temperatura,Umiditatea,Vreme,Perioada,Vant,Activitate seismica,Calitate Aer,Viteza Vant
11:44:22,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:44:31,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:44:39,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:44:51,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:45:00,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:45:08,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:45:16,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:45:28,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:45:42,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:45:53,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:46:07,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:46:18,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:46:38,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:46:52,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:47:01,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:47:15,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:47:23,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:47:32,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:47:40,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:47:49,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:47:57,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:48:06,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:48:26,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:48:34,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:48:43,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:48:51,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:49:00,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:49:14,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:49:22,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:49:31,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:49:42,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:49:59,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:50:08,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:50:19,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
